Id,Name,Active,JobTitle,Affiliation,Salary,Date
1,Letizia Ortiz Rocasolano,1,Reina de España,Sin partido,"139.610,00",2021-11-07
2,Celia Villalobos Talero,0,Diputada,Partido Popular,"89.689,04",2021-11-07
3,Pablo Casado Blanco,1,Diputado,Partido Popular,"55.803,86",2021-11-07
4,Albert Rivera Díaz,0,Diputado,Ciudadanos,"69.515,18",2021-11-07
5,Oriol Junqueras I Vies,0,Diputado,ERC,"68.642,84",2021-11-07
6,Inés Arrimadas García,1,Diputada,Ciudadanos,"126.582,68",2021-11-07
7,Santiago Abascal Conde,1,Diputado,VOX,"55.803,86",2021-11-07
8,Abel Caballero Álvarez,1,Alcalde Del Ayuntamiento De Vigo,PSOE,"71.412,46",2021-11-07
9,Felipe De Borbón Y Grecia,1,Rey de España,Sin partido,"253.850,00",2021-11-07
10,Juan Carlos De Borbón,1,Rey emérito,Sin partido,"0,00",2021-11-07
11,Carles Puigdemont I Casamajó,1,Eurodiputado,Junts per Catalunya,"107.944,68",2021-11-07
12,Joaquim Torra Pla,0,Diputado,Junts per Catalunya,"0,00",2021-11-07
13,Susana Díaz Pacheco,1,Senadora,PSOE,"91.845,88",2021-11-07
14,Pedro Sánchez Pérez-Castejón,1,Presidente,PSOE,"84.845,16",2021-11-07
15,Josep Borrell Fontelles,1,Alto Representante para la Política Exterior y la Seguridad Común,PSOE,"315.428,88",2021-11-07
16,Meritxell Batet Lamaña,1,Diputada,PSOE,"230.930,98",2021-11-07
17,Manuela Carmena Castrillo,0,Alcaldesa Del Ayuntamiento De Madrid,Ahora Madrid,"106.130,52",2021-11-07
18,José Luis Martínez-Almeida Navasqüés,1,Alcalde Del Ayuntamiento De Madrid,Partido Popular,"108.517,80",2021-11-07
19,Ana María Pastor Julián,1,Diputada,Partido Popular,"116.196,64",2021-11-07
20,Gabriel Rufián Romero,1,Diputado,ERC,"126.582,68",2021-11-07
