Name,Salary
Letizia Ortiz Rocasolano,"139.610,00"
Celia Villalobos Talero,"89.689,04"
Pablo Casado Blanco,"55.803,86"
Albert Rivera Díaz,"69.515,18"
Oriol Junqueras I Vies,"68.642,84"
Inés Arrimadas García,"126.582,68"
Santiago Abascal Conde,"55.803,86"
Abel Caballero Álvarez,"71.412,46"
Felipe De Borbón Y Grecia,"253.850,00"
Juan Carlos De Borbón,"0,00"
Carles Puigdemont I Casamajó,"107.944,68"
Joaquim Torra Pla,"0,00"
Susana Díaz Pacheco,"91.845,88"
Pedro Sánchez Pérez-Castejón,"84.845,16"
Josep Borrell Fontelles,"315.428,88"
Meritxell Batet Lamaña,"230.930,98"
Manuela Carmena Castrillo,"106.130,52"
José Luis Martínez-Almeida Navasqüés,"108.517,80"
Ana María Pastor Julián,"116.196,64"
Gabriel Rufián Romero,"126.582,68"
Juan Manuel Moreno Bonilla,"69.243,84"
Alberto Núñez Feijoo,"84.894,26"
Jordi Sevilla Segura,"546.000,00"
José Ignacio Goirigolzarri,"606.000,00"
Pablo Iglesias Turrión,"79.746,24"
Irene María Montero Gil,"74.858,16"
Alberto Garzón Espinosa,"74.858,16"
Miquel Iceta I Llorens,"74.858,16"
Ada Colau Ballano,"100.000,00"
Miguel Ángel Revilla Roiz,"76.567,54"
Francisco Camps Ortiz,"75.790,32"
Joan Ribó Canut,"87.137,82"
Pío García-Escudero Márquez,"115.853,92"
Íñigo Errejón Galván,"109.199,86"
Iñigo Urkullu Renteria,"106.778,14"
Cristina Macazaga Sáenz,"83.977,18"
Lander Martínez Hierro,"83.977,18"
Íñigo Martínez Zatón,"75.327,42"
Juan Luis Uria Serrano,"71.204,98"
María Pilar Zabala Artano,"71.204,98"
